stock,endDate,accountsPayable,inventory,longTermDebt,netReceivables,netTangibleAssets,longTermInvestments,totalCurrentAssets,propertyPlantEquipment,otherStockholderEquity,deferredLongTermAssetCharges,totalCurrentLiabilities,cash,otherAssets,treasuryStock,goodWill,otherLiab,retainedEarnings,otherCurrentAssets,commonStock,totalAssets,otherCurrentLiab,deferredLongTermLiab,totalStockholderEquity,totalLiab,capitalSurplus,intangibleAssets,shortTermInvestments,shortLongTermDebt,minorityInterest
MSTR,3/31/2020,22090000,,,126035000,461426000,,693062000,130313000,-10198000,18139000,252637000,429276000,25896000,-719825000,,34957000,584146000,2742000,18000,849271000,185791000,,461426000,387845000,597087000,,109946000,,
MSTR,12/31/2019,23417000,,,164716000,508559000,,753446000,135692000,-9651000,19409000,269818000,456727000,27433000,-668531000,,34770000,583489000,1089000,18000,916571000,188007000,,508559000,408012000,593583000,,108919000,,
MSTR,9/30/2019,18414000,,,119102000,515419000,,721754000,138987000,-11674000,20520000,230699000,375071000,27975000,-646079000,,37307000,571322000,798000,18000,888716000,161144000,,515419000,373297000,590158000,,203218000,,
MSTR,6/30/2019,22136000,,,129944000,502689000,,727288000,143916000,-9310000,20535000,250647000,261497000,28516000,-643715000,,38201000,561622000,1039000,18000,899720000,177686000,,502689000,397031000,584764000,,313349000,,
CVBF,3/31/2020,9113604000,4889000,25774000,10473000,1237138000,2339698000,805010000,69784000,38406000,,9520953000,705739000,7688148000,38406000,663707000,104470000,694931000,26855000,1208049000,11606888000,,,1941386000,9665502000,,40541000,23799000,,
CVBF,12/31/2019,8704928000,4889000,25774000,9346000,1287405000,2490389000,248879000,72500000,12614000,,9152337000,185518000,7763989000,12614000,663707000,96097000,682692000,28122000,1298792000,11282450000,,,1994098000,9288352000,,42986000,2931000,,
CVBF,9/30/2019,8794330000,9450000,25774000,44630000,1257740000,2292047000,540725000,70596000,12096000,,9225247000,437548000,7720241000,12096000,663707000,96263000,656659000,27244000,1298138000,11332762000,,,1966893000,9365869000,,45446000,5673000,,
CVBF,6/30/2019,8662823000,2275000,25774000,49581000,1224876000,2345821000,274346000,72122000,8280000,,9095583000,175840000,7767493000,8280000,663707000,92392000,631512000,29481000,1296885000,11171583000,,,1936677000,9234906000,,48094000,6425000,,
RVMD,3/31/2020,,,,,308962000,,,,,,,,,,,,,,,,,,385316000,,,,,,
RVMD,12/31/2019,,,,,-229195000,,,,,,,,,,,,,,,,,,-152574000,,,,,,
RVMD,3/31/2019,,,,,-186112000,,,,,,,,,,,,,,,,,,-108422000,,,,,,
RVMD,12/31/2018,,,,,-186112000,,,,,,,,,,,,,,,,,,-108422000,,,,,,
ALKS,3/31/2020,43177000,109314000,273751000,260915000,829230000,53744000,912584000,477087000,-1499000,92781000,339849000,176067000,148743000,-127168000,92873000,48322000,-1420642000,,1615000,1825946000,6819000,,1063018000,762928000,2609213000,140915000,319927000,2843000,
ALKS,12/31/2019,54261000,101803000,274295000,265472000,841926000,85291000,961970000,374547000,-1816000,96558000,391112000,203771000,140079000,-120202000,92873000,49212000,-1381988000,,1602000,1805403000,6766000,,1085442000,719961000,2586030000,150643000,331208000,2843000,
ALKS,9/30/2019,81417000,100987000,274838000,255256000,814497000,26652000,997918000,355241000,-1638000,87615000,370394000,261426000,124497000,-119938000,92873000,37922000,-1376634000,,1599000,1757995000,1798000,,1068184000,689811000,2563157000,160814000,325756000,2843000,
ALKS,6/30/2019,42880000,94780000,275381000,273916000,827309000,29199000,994597000,342141000,-1614000,86894000,334146000,195954000,121955000,-119757000,92873000,42192000,-1323756000,,1595000,1751751000,2103000,,1091168000,660583000,2533086000,170986000,374340000,2843000,
DX,3/31/2020,,,2171000,1534597000,375898000,494956000,1648243000,,246778000,,4436776000,51411000,3231019000,246778000,,384664000,-729313000,59204000,230000,5374218000,5424000,,375898000,4823611000,858203000,,,4408106000,
DX,12/31/2019,,,2733000,35614000,420181000,163538000,174134000,,173806000,,4775187000,62582000,5032932000,173806000,,9696000,-612201000,71648000,229000,5370604000,6280000,,420181000,4787616000,858347000,,,4752348000,
DX,9/30/2019,,,2950000,33930000,421640000,158892000,177710000,,217010000,,4886774000,41781000,5150799000,217010000,,13230000,-653649000,97154000,229000,5487401000,6280000,,421640000,4902954000,858050000,,,4872869000,
DX,6/30/2019,,,3078000,36840000,442567000,581388000,148532000,,161815000,,4838730000,49956000,5138965000,161815000,,428439000,-602127000,61394000,246000,5868885000,7164000,,442567000,5270247000,882633000,,,4815452000,
CLGN,3/31/2020,629000,1107000,,611000,7269000,,7343000,5372000,-969000,,2611000,5614000,163000,-969000,,51000,-68861000,11000,2712000,12878000,687000,,7269000,5609000,74387000,,,18000,
CLGN,12/31/2019,833000,888000,,265000,4088000,,5040000,5544000,-969000,,3457000,3791000,168000,-969000,,68000,-67260000,12000,2368000,10752000,1101000,,4088000,6664000,69949000,,,24000,
CLGN,9/30/2019,766000,792000,,550000,-1676000,,7094000,5301000,-1008000,,5115000,5741000,167000,-1008000,,697000,-56714000,11000,1583000,12866000,2904000,,-1372000,14238000,54767000,,,18000,
CLGN,6/30/2019,761000,958000,,905000,1512000,,3614000,5454000,-1008000,,3297000,1740000,163000,-1008000,,1400000,-53509000,11000,1583000,9547000,1235000,,1828000,7719000,54762000,,,18000,
EDSA,3/31/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDSA,12/31/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDSA,6/30/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDSA,3/31/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAH,3/31/2020,21984000000,12808000000,6744000000,9019000000,-10175000000,,25848000000,2768000000,-141000000,,24671000000,2329000000,1154000000,-2227000000,8339000000,8136000000,656000000,,2774000000,41148000000,121000000,,1203000000,39942000000,,3039000000,,504000000,3000000
CAH,12/31/2019,21459000000,13799000000,6731000000,8280000000,-10524000000,,25736000000,2705000000,-103000000,,24890000000,1659000000,1078000000,-2202000000,8356000000,8084000000,449000000,,2752000000,41042000000,124000000,,999000000,40040000000,,3167000000,,1188000000,3000000
CAH,9/30/2019,19724000000,12458000000,7348000000,8190000000,-10758000000,,23715000000,2718000000,-101000000,,22549000000,1212000000,1088000000,-2140000000,8360000000,8055000000,371000000,,2669000000,39179000000,66000000,,900000000,38276000000,,3298000000,,626000000,3000000
CAH,6/30/2019,21535000000,12822000000,7580000000,8460000000,-5480000000,,25747000000,2356000000,-79000000,,24109000000,2531000000,1006000000,-1869000000,8378000000,2939000000,5434000000,,2763000000,40963000000,5000000,,6328000000,34633000000,,3430000000,,447000000,2000000
UE,3/31/2020,69350000,,1866853000,93354000,897615000,,763369000,2295682000,,,69350000,622667000,24739000,,,130840000,-30243000,47348000,1179000,3143600000,,24739000,957425000,2145377000,986489000,59810000,,,40798000
UE,12/31/2019,13014000,,1546195000,95443000,919695000,,606819000,2158607000,,,37938000,432954000,32811000,,,173898000,-52546000,78422000,1213000,2846358000,,25351000,967816000,1831582000,1019149000,48121000,,,46960000
